t,Country_s,Country_r,Industry_i,Industry_j,BT_I
1,AFG,AFG,goods,goods,0.031020541385177073
1,AFG,AFG,goods,services,-1.202769463949465
1,AFG,AFG,services,goods,-1.202769463949465
1,AFG,AFG,services,services,-0.3429077870886806
1,AFG,AGO,goods,goods,-10.963954514885849
1,AFG,AGO,goods,services,-12.28413537291513
1,AFG,AGO,services,goods,-11.491450478657685
1,AFG,AGO,services,services,-12.462162164201414
1,AFG,ALB,goods,goods,-9.357991188556781
1,AFG,ALB,goods,services,-11.00236421350503
1,AFG,ALB,services,goods,-10.852281456631072
1,AFG,ALB,services,services,-11.504689076853834
1,AFG,AND,goods,goods,-9.926378172233811
1,AFG,AND,goods,services,-10.809055763295879
1,AFG,AND,services,goods,-11.070708714003864
1,AFG,AND,services,services,-11.422330544909833
1,AFG,DZA,goods,goods,-11.743446539823914
1,AFG,DZA,goods,services,-13.892164997778885
1,AFG,DZA,services,goods,-12.77160859747744
1,AFG,DZA,services,services,-14.095481996257355
1,AGO,AGO,goods,goods,0.2684509782036012
1,AGO,AGO,goods,services,-0.9835221951977113
1,AGO,AGO,services,goods,-0.9835221951977113
1,AGO,AGO,services,services,-0.4579861322919461
1,ALB,AGO,goods,goods,-10.777342379488875
1,ALB,AGO,goods,services,-12.18025839133389
1,ALB,AGO,services,goods,-11.33747287617744
1,ALB,AGO,services,services,-12.36951618448366
1,ALB,ALB,goods,goods,0.2968990263923808
1,ALB,ALB,goods,services,-1.2821515511122004
1,ALB,ALB,services,goods,-1.2821515511122004
1,ALB,ALB,services,services,-0.851818119859404
1,ALB,AND,goods,goods,-9.28382557884554
1,ALB,AND,goods,services,-10.581182801536851
1,ALB,AND,services,goods,-10.601907831457801
1,ALB,AND,services,services,-11.16403869860076
1,ALB,DZA,goods,goods,-12.31004260157389
1,ALB,DZA,goods,services,-13.87797911023847
1,ALB,DZA,services,goods,-12.706279080476243
1,ALB,DZA,services,services,-14.023980326918545
1,AND,AGO,goods,goods,-10.606183978913299
1,AND,AGO,goods,services,-12.157832411152047
1,AND,AGO,services,goods,-11.021882411700526
1,AND,AGO,services,services,-12.20525127677249
1,AND,AND,goods,goods,0.9678863682990764
1,AND,AND,goods,services,-1.2095998821388505
1,AND,AND,services,goods,-1.2095998821388505
1,AND,AND,services,services,-0.5375247022902184
1,DZA,AGO,goods,goods,-12.44786434206988
1,DZA,AGO,goods,services,-12.963843068314974
1,DZA,AGO,services,goods,-13.93159980442162
1,DZA,AGO,services,services,-14.081611075840318
1,DZA,AND,goods,goods,-10.538653770552537
1,DZA,AND,goods,services,-12.466213649252191
1,DZA,AND,services,goods,-12.624946476488994
1,DZA,AND,services,services,-13.009894995524846
1,DZA,DZA,goods,goods,-0.71999514861051
1,DZA,DZA,goods,services,-1.6533282748024194
1,DZA,DZA,services,goods,-1.6533282748024194
1,DZA,DZA,services,services,-1.7214245347562807
2,AFG,AFG,goods,goods,0.02276151409012449
2,AFG,AFG,goods,services,-1.3225469752112768
2,AFG,AFG,services,goods,-1.3225469752112768
2,AFG,AFG,services,services,-0.5174301851161635
2,AFG,AGO,goods,goods,-11.237452083289346
2,AFG,AGO,goods,services,-12.579820681092846
2,AFG,AGO,services,goods,-11.656218434022755
2,AFG,AGO,services,services,-12.673679821959803
2,AFG,ALB,goods,goods,-8.838831706367658
2,AFG,ALB,goods,services,-11.345995221379042
2,AFG,ALB,services,goods,-10.704341074974861
2,AFG,ALB,services,services,-11.775852116680474
2,AFG,AND,goods,goods,-10.039278280885545
2,AFG,AND,goods,services,-10.775092658074815
2,AFG,AND,services,goods,-11.334294069810243
2,AFG,AND,services,services,-11.515630970404228
2,AFG,DZA,goods,goods,-11.9364444294814
2,AFG,DZA,goods,services,-13.903849701085978
2,AFG,DZA,services,goods,-12.753719205703836
2,AFG,DZA,services,services,-13.984367322878683
2,AGO,AGO,goods,goods,0.19389641069528518
2,AGO,AGO,goods,services,-1.0354776039434535
2,AGO,AGO,services,goods,-1.0354776039434535
2,AGO,AGO,services,services,-0.5734378779453336
2,ALB,AGO,goods,goods,-10.887332152756361
2,ALB,AGO,goods,services,-12.318836744159354
2,ALB,AGO,services,goods,-11.438717758997512
2,ALB,AGO,services,services,-12.474616439154047
2,ALB,ALB,goods,goods,0.08366496314742199
