Year,Country_s,Country_r,Industry_i,Industry_j,VAD_s_i,VAD_r_j
1990,AFG,AFG,goods,goods,699534.9828700001,699534.9828700001
1990,AFG,AFG,goods,services,699534.9828700001,1866710.74685
1990,AFG,AFG,services,goods,1866710.74685,699534.9828700001
1990,AFG,AFG,services,services,1866710.74685,1866710.74685
1990,AFG,ALB,goods,goods,699534.9828700001,333613.381333
1990,AFG,ALB,goods,services,699534.9828700001,799375.14726
1990,AFG,ALB,services,goods,1866710.74685,333613.381333
1990,AFG,ALB,services,services,1866710.74685,799375.14726
1990,AFG,DZA,goods,goods,699534.9828700001,12262938.282159999
1990,AFG,DZA,goods,services,699534.9828700001,52495861.6711
1990,AFG,DZA,services,goods,1866710.74685,12262938.282159999
1990,AFG,DZA,services,services,1866710.74685,52495861.6711
1990,AFG,AND,goods,goods,699534.9828700001,68467.592254
1990,AFG,AND,goods,services,699534.9828700001,914290.808296
1990,AFG,AND,services,goods,1866710.74685,68467.592254
1990,AFG,AND,services,services,1866710.74685,914290.808296
1990,AFG,AGO,goods,goods,699534.9828700001,1478378.00234
1990,AFG,AGO,goods,services,699534.9828700001,7303111.7063
1990,AFG,AGO,services,goods,1866710.74685,1478378.00234
1990,AFG,AGO,services,services,1866710.74685,7303111.7063
1990,ALB,ALB,goods,goods,333613.381333,333613.381333
1990,ALB,ALB,goods,services,333613.381333,799375.14726
1990,ALB,ALB,services,goods,799375.14726,333613.381333
1990,ALB,ALB,services,services,799375.14726,799375.14726
1990,ALB,DZA,goods,goods,333613.381333,12262938.282159999
1990,ALB,DZA,goods,services,333613.381333,52495861.6711
1990,ALB,DZA,services,goods,799375.14726,12262938.282159999
1990,ALB,DZA,services,services,799375.14726,52495861.6711
1990,ALB,AND,goods,goods,333613.381333,68467.592254
1990,ALB,AND,goods,services,333613.381333,914290.808296
1990,ALB,AND,services,goods,799375.14726,68467.592254
1990,ALB,AND,services,services,799375.14726,914290.808296
1990,ALB,AGO,goods,goods,333613.381333,1478378.00234
1990,ALB,AGO,goods,services,333613.381333,7303111.7063
1990,ALB,AGO,services,goods,799375.14726,1478378.00234
1990,ALB,AGO,services,services,799375.14726,7303111.7063
1990,DZA,DZA,goods,goods,12262938.282159999,12262938.282159999
1990,DZA,DZA,goods,services,12262938.282159999,52495861.6711
1990,DZA,DZA,services,goods,52495861.6711,12262938.282159999
1990,DZA,DZA,services,services,52495861.6711,52495861.6711
1990,DZA,AND,goods,goods,12262938.282159999,68467.592254
1990,DZA,AND,goods,services,12262938.282159999,914290.808296
1990,DZA,AND,services,goods,52495861.6711,68467.592254
1990,DZA,AND,services,services,52495861.6711,914290.808296
1990,DZA,AGO,goods,goods,12262938.282159999,1478378.00234
1990,DZA,AGO,goods,services,12262938.282159999,7303111.7063
1990,DZA,AGO,services,goods,52495861.6711,1478378.00234
1990,DZA,AGO,services,services,52495861.6711,7303111.7063
1990,AND,AND,goods,goods,68467.592254,68467.592254
1990,AND,AND,goods,services,68467.592254,914290.808296
1990,AND,AND,services,goods,914290.808296,68467.592254
1990,AND,AND,services,services,914290.808296,914290.808296
1990,AND,AGO,goods,goods,68467.592254,1478378.00234
1990,AND,AGO,goods,services,68467.592254,7303111.7063
1990,AND,AGO,services,goods,914290.808296,1478378.00234
1990,AND,AGO,services,services,914290.808296,7303111.7063
1990,AGO,AGO,goods,goods,1478378.00234,1478378.00234
1990,AGO,AGO,goods,services,1478378.00234,7303111.7063
1990,AGO,AGO,services,goods,7303111.7063,1478378.00234
1990,AGO,AGO,services,services,7303111.7063,7303111.7063
1991,AFG,AFG,goods,goods,625042.3004599999,625042.3004599999
1991,AFG,AFG,goods,services,625042.3004599999,1770464.80516
1991,AFG,AFG,services,goods,1770464.80516,625042.3004599999
1991,AFG,AFG,services,services,1770464.80516,1770464.80516
1991,AFG,ALB,goods,goods,625042.3004599999,229682.952165
1991,AFG,ALB,goods,services,625042.3004599999,654579.88626
1991,AFG,ALB,services,goods,1770464.80516,229682.952165
1991,AFG,ALB,services,services,1770464.80516,654579.88626
1991,AFG,DZA,goods,goods,625042.3004599999,9146559.95593
1991,AFG,DZA,goods,services,625042.3004599999,37564666.1616
1991,AFG,DZA,services,goods,1770464.80516,9146559.95593
1991,AFG,DZA,services,services,1770464.80516,37564666.1616
1991,AFG,AND,goods,goods,625042.3004599999,75168.937086
1991,AFG,AND,goods,services,625042.3004599999,980629.297091
1991,AFG,AND,services,goods,1770464.80516,75168.937086
1991,AFG,AND,services,services,1770464.80516,980629.297091
1991,AFG,AGO,goods,goods,625042.3004599999,1729245.49595
1991,AFG,AGO,goods,services,625042.3004599999,8737921.9495
1991,AFG,AGO,services,goods,1770464.80516,1729245.49595
1991,AFG,AGO,services,services,1770464.80516,8737921.9495
1991,ALB,ALB,goods,goods,229682.952165,229682.952165
1991,ALB,ALB,goods,services,229682.952165,654579.88626
1991,ALB,ALB,services,goods,654579.88626,229682.952165
1991,ALB,ALB,services,services,654579.88626,654579.88626
1991,ALB,DZA,goods,goods,229682.952165,9146559.95593
1991,ALB,DZA,goods,services,229682.952165,37564666.1616
1991,ALB,DZA,services,goods,654579.88626,9146559.95593
1991,ALB,DZA,services,services,654579.88626,37564666.1616
1991,ALB,AND,goods,goods,229682.952165,75168.937086
1991,ALB,AND,goods,services,229682.952165,980629.297091
1991,ALB,AND,services,goods,654579.88626,75168.937086
1991,ALB,AND,services,services,654579.88626,980629.297091
1991,ALB,AGO,goods,goods,229682.952165,1729245.49595
1991,ALB,AGO,goods,services,229682.952165,8737921.9495
1991,ALB,AGO,services,goods,654579.88626,1729245.49595
1991,ALB,AGO,services,services,654579.88626,8737921.9495
1991,DZA,DZA,goods,goods,9146559.95593,9146559.95593
1991,DZA,DZA,goods,services,9146559.95593,37564666.1616
1991,DZA,DZA,services,goods,37564666.1616,9146559.95593
1991,DZA,DZA,services,services,37564666.1616,37564666.1616
1991,DZA,AND,goods,goods,9146559.95593,75168.937086
1991,DZA,AND,goods,services,9146559.95593,980629.297091
1991,DZA,AND,services,goods,37564666.1616,75168.937086
1991,DZA,AND,services,services,37564666.1616,980629.297091
1991,DZA,AGO,goods,goods,9146559.95593,1729245.49595
1991,DZA,AGO,goods,services,9146559.95593,8737921.9495
1991,DZA,AGO,services,goods,37564666.1616,1729245.49595
1991,DZA,AGO,services,services,37564666.1616,8737921.9495
1991,AND,AND,goods,goods,75168.937086,75168.937086
1991,AND,AND,goods,services,75168.937086,980629.297091
1991,AND,AND,services,goods,980629.297091,75168.937086
1991,AND,AND,services,services,980629.297091,980629.297091
1991,AND,AGO,goods,goods,75168.937086,1729245.49595
1991,AND,AGO,goods,services,75168.937086,8737921.9495
1991,AND,AGO,services,goods,980629.297091,1729245.49595
1991,AND,AGO,services,services,980629.297091,8737921.9495
1991,AGO,AGO,goods,goods,1729245.49595,1729245.49595
1991,AGO,AGO,goods,services,1729245.49595,8737921.9495
1991,AGO,AGO,services,goods,8737921.9495,1729245.49595
1991,AGO,AGO,services,services,8737921.9495,8737921.9495
1992,AFG,AFG,goods,goods,630007.849326,630007.849326
1992,AFG,AFG,goods,services,630007.849326,1922112.6076500001
1992,AFG,AFG,services,goods,1922112.6076500001,630007.849326
1992,AFG,AFG,services,services,1922112.6076500001,1922112.6076500001
1992,AFG,ALB,goods,goods,630007.849326,216444.197952
1992,AFG,ALB,goods,services,630007.849326,827691.25051
1992,AFG,ALB,services,goods,1922112.6076500001,216444.197952
1992,AFG,ALB,services,services,1922112.6076500001,827691.25051
1992,AFG,DZA,goods,goods,630007.849326,10097297.06656
1992,AFG,DZA,goods,services,630007.849326,42129837.3359
1992,AFG,DZA,services,goods,1922112.6076500001,10097297.06656
1992,AFG,DZA,services,services,1922112.6076500001,42129837.3359
1992,AFG,AND,goods,goods,630007.849326,85882.010481
1992,AFG,AND,goods,services,630007.849326,1084859.687111
1992,AFG,AND,services,goods,1922112.6076500001,85882.010481
1992,AFG,AND,services,services,1922112.6076500001,1084859.687111
1992,AFG,AGO,goods,goods,630007.849326,2052507.05604
1992,AFG,AGO,goods,services,630007.849326,10426703.5846
1992,AFG,AGO,services,goods,1922112.6076500001,2052507.05604
1992,AFG,AGO,services,services,1922112.6076500001,10426703.5846
1992,ALB,ALB,goods,goods,216444.197952,216444.197952
1992,ALB,ALB,goods,services,216444.197952,827691.25051
1992,ALB,ALB,services,goods,827691.25051,216444.197952
1992,ALB,ALB,services,services,827691.25051,827691.25051
1992,ALB,DZA,goods,goods,216444.197952,10097297.06656
1992,ALB,DZA,goods,services,216444.197952,42129837.3359
1992,ALB,DZA,services,goods,827691.25051,10097297.06656
1992,ALB,DZA,services,services,827691.25051,42129837.3359
1992,ALB,AND,goods,goods,216444.197952,85882.010481
1992,ALB,AND,goods,services,216444.197952,1084859.687111
1992,ALB,AND,services,goods,827691.25051,85882.010481
1992,ALB,AND,services,services,827691.25051,1084859.687111
