Year,Country_s,Country_r,Industry_i,Industry_j,BT_demand,BT_supply
1990,AFG,AFG,goods,goods,1.7251263734704487,0.7697953467918085
1990,AFG,AFG,goods,services,4.514294797608649,0.3122313483495974
1990,AFG,AFG,services,goods,4.514294797608649,0.3122313483495974
1990,AFG,AFG,services,services,5.213308290121022,0.7593166883198769
1990,AFG,ALB,goods,goods,8.27296445536137e-5,3.878410812914075e-5
1990,AFG,ALB,goods,services,1.0145064131345155e-4,1.757254567226316e-5
1990,AFG,ALB,services,goods,1.0797555317373461e-4,1.857862586904724e-5
1990,AFG,ALB,services,services,1.0722596592331889e-4,1.0969684541715524e-5
1990,AFG,DZA,goods,goods,1.5731386225347662e-5,1.0215860818455259e-5
1990,AFG,DZA,goods,services,1.611557212142647e-5,8.48863146186653e-6
1990,AFG,DZA,services,goods,9.066060560515706e-6,4.218007620887981e-6
1990,AFG,DZA,services,services,8.83423916989066e-6,3.781382506902865e-6
1990,AFG,AND,goods,goods,4.5535206751164825e-4,3.511754413764908e-5
1990,AFG,AND,goods,services,3.3333264604897164e-5,1.6460128043864216e-5
1990,AFG,AND,services,goods,3.2875803244685874e-4,3.003924908136508e-5
1990,AFG,AND,services,services,2.89774651319858e-5,1.1823537378906188e-5
1990,AFG,AGO,goods,goods,1.6007501470347748e-5,1.0807298799037325e-5
1990,AFG,AGO,goods,services,1.593746108498117e-5,9.195498038638409e-6
1990,AFG,AGO,services,goods,1.3565387105557281e-5,6.1506239210367645e-6
1990,AFG,AGO,services,services,1.0149390285586481e-5,4.538153477542688e-6
1990,ALB,AFG,goods,goods,8.27296445536137e-5,3.878410812914075e-5
1990,ALB,AFG,goods,services,1.0797555317373461e-4,1.857862586904724e-5
1990,ALB,AFG,services,goods,1.0145064131345155e-4,1.757254567226316e-5
1990,ALB,AFG,services,services,1.0722596592331889e-4,1.0969684541715524e-5
1990,ALB,ALB,goods,goods,3.5913931599382853,0.7140810905959861
1990,ALB,ALB,goods,services,9.962819738296357,0.2410108937261777
1990,ALB,ALB,services,goods,9.962819738296357,0.2410108937261777
1990,ALB,ALB,services,services,13.57087679322108,0.4377384955395132
1990,ALB,DZA,goods,goods,3.970948844323746e-5,1.4029648429909431e-5
1990,ALB,DZA,goods,services,4.4996646943742895e-5,1.3149599236584509e-5
1990,ALB,DZA,services,goods,3.468571141006844e-5,7.114677981936669e-6
1990,ALB,DZA,services,services,3.639035006490322e-5,6.513746374739667e-6
1990,ALB,AND,goods,goods,5.56599862456981e-4,5.2455126475872986e-5
1990,ALB,AND,goods,services,1.4785098100424267e-4,2.449185782102027e-5
1990,ALB,AND,services,goods,7.003721218845264e-4,4.8040453708686494e-5
1990,ALB,AND,services,services,1.788805806211733e-4,1.9022298745625465e-5
1990,ALB,AGO,goods,goods,5.956751672242749e-5,1.5466654777417433e-5
1990,ALB,AGO,goods,services,8.375794966505968e-5,1.362965036897583e-5
1990,ALB,AGO,services,goods,6.34701707292819e-5,9.154879549942404e-6
1990,ALB,AGO,services,services,7.544679031015145e-5,7.176072393306917e-6
1990,DZA,AFG,goods,goods,1.5731386225347662e-5,1.0215860818455259e-5
1990,DZA,AFG,goods,services,9.066060560515706e-6,4.218007620887981e-6
1990,DZA,AFG,services,goods,1.611557212142647e-5,8.48863146186653e-6
1990,DZA,AFG,services,services,8.83423916989066e-6,3.781382506902865e-6
1990,DZA,ALB,goods,goods,3.970948844323746e-5,1.4029648429909431e-5
1990,DZA,ALB,goods,services,3.468571141006844e-5,7.114677981936669e-6
1990,DZA,ALB,services,goods,4.4996646943742895e-5,1.3149599236584509e-5
1990,DZA,ALB,services,services,3.639035006490322e-5,6.513746374739667e-6
1990,DZA,DZA,goods,goods,2.2002496760633057,0.36561879732489594
1990,DZA,DZA,goods,services,9.045448132895654,0.28963660405239
1990,DZA,DZA,services,goods,9.045448132895654,0.28963660405239
1990,DZA,DZA,services,services,2.71286459810947,0.2595877505097703
1990,DZA,AND,goods,goods,3.6458965019050085e-4,3.569990446953173e-5
1990,DZA,AND,goods,services,2.2984591548002872e-5,9.774632182558686e-6
1990,DZA,AND,services,goods,3.3143336695060533e-4,3.066693951798579e-5
1990,DZA,AND,services,services,2.2150175007142163e-5,1.030393893512181e-5
1990,DZA,AGO,goods,goods,7.330251534013367e-6,3.544487099866191e-6
1990,DZA,AGO,goods,services,3.4779351879468118e-6,1.8872628543304676e-6
1990,DZA,AGO,services,goods,6.861887410548225e-6,2.9412531450260817e-6
1990,DZA,AGO,services,services,2.5998255629683444e-6,1.3535615330266656e-6
1990,AND,AFG,goods,goods,4.5535206751164825e-4,3.511754413764908e-5
