t,Country_s,Country_r,Industry_i,Industry_j,BT_demand,BT_supply
1,AFG,AFG,goods,goods,0.9592818066278024,-0.31780615121926153
1,AFG,AFG,goods,services,2.038171050253825,-1.1734734419869646
1,AFG,AFG,services,goods,2.038171050253825,-1.1734734419869646
1,AFG,AFG,services,services,1.5879967127713965,-0.3734301227850553
1,AFG,AGO,goods,goods,-10.545435785089282,-11.205534720484136
1,AFG,AGO,goods,services,-10.553881736010142,-11.311342304240071
1,AFG,AGO,services,goods,-10.961819390724145,-11.814475968358865
1,AFG,AGO,services,services,-11.28234156993064,-12.081920110449156
1,AFG,ALB,goods,goods,-8.373050415163126,-9.89590603387686
1,AFG,ALB,goods,services,-9.462196056134221,-11.04961883609607
1,AFG,ALB,services,goods,-8.35024465169736,-10.82261981510151
1,AFG,ALB,services,services,-9.462284116633985,-11.545635959244576
1,AFG,AND,goods,goods,-7.875548421479488,-10.277323163918489
1,AFG,AND,goods,services,-9.977420375345398,-10.901469941108253
1,AFG,AND,services,goods,-8.28580860678932,-10.482785564564454
1,AFG,AND,services,services,-10.40746566506902,-11.319407238679599
1,AFG,DZA,goods,goods,-10.678853753645065,-11.250946996724934
1,AFG,DZA,goods,services,-10.651355388146465,-11.432069075474816
1,AFG,DZA,services,goods,-11.58152273555776,-12.237939451418029
1,AFG,DZA,services,services,-11.543945697843247,-12.321205562642895
1,AGO,AGO,goods,goods,0.6930544048029589,-0.4604454275826681
1,AGO,AGO,goods,services,2.440198880635279,-0.901041539932668
1,AGO,AGO,services,goods,2.440198880635279,-0.901041539932668
1,AGO,AGO,services,services,1.2034678761154372,-0.42600793551603594
1,ALB,AGO,goods,goods,-8.76032160479599,-10.973477938734689
1,ALB,AGO,goods,services,-8.464151483697714,-11.022213174480026
1,ALB,AGO,services,goods,-9.827945598000872,-11.62741110865123
1,ALB,AGO,services,services,-9.655892514960653,-11.79650193337214
1,ALB,ALB,goods,goods,2.01127988948173,-0.45580147998951603
1,ALB,ALB,goods,services,3.166147442264276,-1.4380577271519013
1,ALB,ALB,services,goods,3.166147442264276,-1.4380577271519013
1,ALB,ALB,services,services,2.154888143597765,-1.0071434484797026
1,ALB,AND,goods,goods,-7.5607660183352,-10.090031400108034
1,ALB,AND,goods,services,-8.081417357885837,-10.722916578854619
1,ALB,AND,services,goods,-7.903112926709946,-10.358660208987823
1,ALB,AND,services,services,-9.066251387368668,-11.1640512621623
1,ALB,DZA,goods,goods,-9.581002928012811,-11.150091700987026
1,ALB,DZA,goods,services,-9.502602992457689,-11.19964867438084
1,ALB,DZA,services,goods,-10.704186108126068,-12.002743726453692
1,ALB,DZA,services,services,-10.641769346445365,-12.064903831329108
1,AND,AGO,goods,goods,-8.331191782170558,-10.436918243580175
1,AND,AGO,goods,services,-8.315258801273911,-10.476711714859768
1,AND,AGO,services,goods,-10.548736458157443,-11.292552034724663
1,AND,AGO,services,services,-10.735842210847194,-11.479292196091048
1,AND,AND,goods,goods,2.885379686306857,-0.29802757725927675
1,AND,AND,goods,services,4.3639478956795115,-1.0081199169837065
1,AND,AND,services,goods,4.3639478956795115,-1.0081199169837065
1,AND,AND,services,services,1.4738997375316036,-0.5036191016873736
1,DZA,AGO,goods,goods,-11.559751555409777,-12.4017233291863
1,DZA,AGO,goods,services,-12.44944337909068,-13.026090087536831
1,DZA,AGO,services,goods,-11.622237066780887,-12.589232754643941
1,DZA,AGO,services,services,-12.633346894007753,-13.293702223787289
1,DZA,AND,goods,goods,-8.184136474363491,-10.274752254490782
1,DZA,AND,goods,services,-10.78986157325128,-11.603223666206114
1,DZA,AND,services,goods,-8.337502686115347,-10.509481383637652
1,DZA,AND,services,services,-10.80228295255394,-11.556834577245493
1,DZA,DZA,goods,goods,0.6008287967536727,-0.9914205050031235
1,DZA,DZA,goods,services,2.1008802632111263,-1.16453360298812
1,DZA,DZA,services,goods,2.1008802632111263,-1.16453360298812
1,DZA,DZA,services,services,0.926010329023317,-1.3429222136793875
2,AFG,AFG,goods,goods,1.1860369164315714,-0.3708934710660296
2,AFG,AFG,goods,services,2.301416492063397,-1.1960987015432891
2,AFG,AFG,services,goods,2.301416492063397,-1.1960987015432891
2,AFG,AFG,services,services,1.506512492621438,-0.46683633748766856
2,AFG,AGO,goods,goods,-10.465673244102083,-11.190091792881384
2,AFG,AGO,goods,services,-10.284052271777208,-11.109411932548444
2,AFG,AGO,services,goods,-11.174395058102414,-11.886529778177026
2,AFG,AGO,services,services,-11.283085572083069,-11.986047992669631
2,AFG,ALB,goods,goods,-7.822246576505634,-9.390218738051427
2,AFG,ALB,goods,services,-9.516879702848556,-11.08814121831165
2,AFG,ALB,services,goods,-8.123079086796098,-10.841841158358791
2,AFG,ALB,services,services,-9.75962293966689,-11.764969126409293
2,AFG,AND,goods,goods,-7.871421783749431,-10.402631799364624
2,AFG,AND,goods,services,-9.819969171948301,-10.905399181381531
2,AFG,AND,services,goods,-8.36635124834207,-10.583280255920668
2,AFG,AND,services,services,-10.415392183161776,-11.338498107551086
2,AFG,DZA,goods,goods,-10.684929128141656,-11.357469008738713
2,AFG,DZA,goods,services,-10.692511822324537,-11.51699260657024
2,AFG,DZA,services,goods,-11.756760968599648,-12.339074512886102
2,AFG,DZA,services,services,-11.78011935487195,-12.447469419623955
2,AGO,AGO,goods,goods,0.5674962887283173,-0.4884016991085291
2,AGO,AGO,goods,services,2.3468300475864643,-0.856417894949289
2,AGO,AGO,services,goods,2.3468300475864643,-0.856417894949289
2,AGO,AGO,services,services,1.0252990334094252,-0.46963326995124277
2,ALB,AGO,goods,goods,-8.255311234493774,-11.007849310706197
2,ALB,AGO,goods,services,-7.965069703885927,-10.975129700063162
2,ALB,AGO,services,goods,-9.879498716899409,-11.775688476755613
2,ALB,AGO,services,services,-9.736323395720634,-11.939974228436917
2,ALB,ALB,goods,goods,2.0505845766869384,-0.6940853035765732
2,ALB,ALB,goods,services,3.460622808045934,-1.261524225375222
2,ALB,ALB,services,goods,3.460622808045934,-1.261524225375222
2,ALB,ALB,services,services,1.8638259576498954,-0.8501654800812083
2,ALB,AND,goods,goods,-7.27978080317709,-10.065097029708378
2,ALB,AND,goods,services,-7.843358262988628,-10.706323043437923
2,ALB,AND,services,goods,-7.736267003527402,-10.233370907735182
2,ALB,AND,services,services,-9.234224463865058,-11.058296784107096
2,ALB,DZA,goods,goods,-9.523963423190263,-11.4897371963362
2,ALB,DZA,goods,services,-9.293440924265356,-11.400587604468205
2,ALB,DZA,services,goods,-11.13758056138966,-12.440791017194162
2,ALB,DZA,services,services,-10.995096937932713,-12.42192737464143
2,AND,AGO,goods,goods,-8.108944694750887,-10.28174871310632
2,AND,AGO,goods,services,-7.933016355642701,-10.189494374640796
2,AND,AGO,services,goods,-10.532654219974729,-11.189608491859108
2,AND,AGO,services,services,-10.5079943128601,-11.217294216790382
2,AND,AND,goods,goods,2.783508656260403,-0.35276608388480785
2,AND,AND,goods,services,4.206362671238855,-1.0685203132390253
2,AND,AND,services,goods,4.206362671238855,-1.0685203132390253
2,AND,AND,services,services,1.4803417695727257,-0.5192122904048416
2,DZA,AGO,goods,goods,-11.69525209349823,-12.509549869025784
2,DZA,AGO,goods,services,-12.527155176913345,-13.054589184061156
2,DZA,AGO,services,goods,-11.91745659792523,-12.758636326735019
2,DZA,AGO,services,services,-12.874286316887497,-13.375551870566511
2,DZA,AND,goods,goods,-8.20366478897125,-10.30509087553304
2,DZA,AND,goods,services,-10.766308411103685,-11.548727016932116
