Year,Country,Sector,VAD
1990,DZA,goods,12262938.282159999
1990,DZA,services,52708189.2051
1990,AGO,goods,1478378.00234
1990,AGO,services,7324647.2103
1990,ARG,goods,32537347.884999998
1990,ARG,services,100327830.437
1990,AUS,goods,62591467.420354
1990,AUS,services,192200500.3619133
1990,AUT,goods,32257468.615836
1990,AUT,services,108831648.8798286
1990,AZE,goods,-87.26860199999945
1990,AZE,services,17466.527861999984
1990,BHR,goods,689266.993063
1990,BHR,services,3590509.285284
1990,BGD,goods,4487192.96101
1990,BGD,services,23100178.3488
1990,BLR,goods,38820.551892
1990,BLR,services,29101.811207
1990,BEL,goods,42327141.111441
1990,BEL,services,143505675.171086
1990,BOL,goods,1549490.360314
1990,BOL,services,2507670.3217
1990,BIH,goods,1193760.900998
1990,BIH,services,5297019.89392
1990,BRA,goods,91251108.6900034
1990,BRA,services,224460440.637274
1990,BGR,goods,3649332.832652
1990,BGR,services,16147909.46462
1990,KHM,goods,297645.173748
1990,KHM,services,1207006.50568
1990,CAN,goods,150714817.5224291
1990,CAN,services,398566842.5214339
1990,CHL,goods,7575613.8744479
1990,CHL,services,17844689.171063747
1990,CHN,goods,214282110.999834
1990,CHN,services,150171892.25
1990,COL,goods,15764197.639007999
1990,COL,services,30235183.272154
1990,COG,goods,583211.89235
1990,COG,services,2481073.1670399997
1990,CRI,goods,1077470.076964
1990,CRI,services,5249212.694778
1990,HRV,goods,2850881.3758300003
1990,HRV,services,13683560.2092
1990,CUB,goods,3770429.64447
1990,CUB,services,21449701.8052
1990,CYP,goods,691755.904786
1990,CYP,services,4149722.29536
1990,CZE,goods,14388963.555681
1990,CZE,services,25942091.564012
1990,DNK,goods,23287319.516328
1990,DNK,services,92857798.177473
1990,DOM,goods,1456505.87015
1990,DOM,services,6476668.797665
1990,ECU,goods,4652651.097577
1990,ECU,services,4551474.529222
1990,EGY,goods,6273315.77016
1990,EGY,services,32591804.4463
1990,SLV,goods,638605.464352
1990,SLV,services,3658716.77824
1990,EST,goods,1432669.973755
1990,EST,services,4083676.596779
1990,ETH,goods,1376381.313694
1990,ETH,services,7550364.59624
1990,FIN,goods,32286189.390558
1990,FIN,services,81345605.706435
1990,FRA,goods,187541053.153341
1990,FRA,services,834379245.3008815
1990,GEO,goods,5690000.328103
1990,GEO,services,11847764.0572
1990,DEU,goods,363845118.669046
1990,DEU,services,1176174169.6518989
1990,GHA,goods,1560675.514579
1990,GHA,services,7545621.94522
1990,GRC,goods,14645736.78293
1990,GRC,services,64175030.5057866
1990,GTM,goods,1047836.779355
1990,GTM,services,4833763.61268
1990,HND,goods,567813.482366
1990,HND,services,2334042.873378
1990,HKG,goods,14347334.7798371
1990,HKG,services,35819764.56469298
1990,HUN,goods,8607644.580511
1990,HUN,services,21926615.819855
1990,ISL,goods,910821.073237
1990,ISL,services,4244572.430864
1990,IND,goods,124875533.439743
1990,IND,services,166251026.83220038
1990,IDN,goods,58750797.12
1990,IDN,services,54302282.68887195
1990,IRN,goods,34943730.949
1990,IRN,services,47385275.7022437
1990,IRQ,goods,4707869.115
1990,IRQ,services,31633176.454
1990,IRL,goods,13537600.709521
1990,IRL,services,28957233.508475102
1990,ISR,goods,10790904.678501
1990,ISR,services,44122014.93189582
1990,ITA,goods,242846922.385023
1990,ITA,services,753305176.622371
1990,JPN,goods,712739396.6620001
1990,JPN,services,2195678864.082354
1990,KAZ,goods,11644076.3008371
1990,KAZ,services,12901311.637123711
1990,KEN,goods,3858602.3739524
1990,KEN,services,5597160.396522854
1990,KWT,goods,8918911.2461814
1990,KWT,services,10419897.49687
